URL,Informative_Text
https://mollanbros.co.uk/lift-rise-chairs,"Windsor Single Motor Lift & Rise Chair, Savoy Dual Motor Lift & Tilt Recliner, Parker Lift & Rise Chair (Fabric), Sandringham Dual Motor Lift & Rise Chair, Windsor Dual Motor Lift & Rise Chair (Full Leather), Penrith Electric Lift & Tilt Chair, Riva Rise & Recline Chair, Parker Lift & Tilt Chair (Leather), Lincoln Standard Dual Motor Lift + Rise Chair (Fabric), Windsor Dual Motor Lift + Rise Chair"
https://mollanbros.co.uk/leather-accent-chairs,"Harvey Rocker Recliner Chair by Lazboy, Leandro Electric Reclining Accent Chair"
https://mollanbros.co.uk/leather2,"Augustine 3 Seater Recliner, Winchester 3 Seater Recliner, Nerano 3 Seater (Electric Reclining), Nerano 3 Seater (Fixed), Sophia 3 Seater, Sloane 3 Seater (Power Reclining with Sensor), Sloane 3 Seater (Static), Jefferson by Lazboy 3 Seater (Static), Jefferson by Lazboy 3 Seater (Power Reclining), Kenzie 3 Seater Electric Recliner"
https://mollanbros.co.uk/wooden-chairs,"Danube Oak Dining Chair, Danube Painted Oak Dining Chair, Salisbury Cross Back Chair with Wooden Seat, Salisbury Dining Chair with PU Seat, Salisbury Slatted Chair with Wooden Seat, Stow Natural Oak Chair (Solid Seat)"
https://mollanbros.co.uk/sideboards,"Lazzaro Sideboard, Salisbury Extra Large Sideboard, Salisbury Large Sideboard, Salisbury Mini Cupboard, Salisbury Mini Sideboard, Salisbury Sideboard with Baskets, Salisbury Small Sideboard, Stow Natural Oak 2 Door 2 Drawer Sideboard, Stow Natural Oak 3 Door 3 Drawer Sideboard, Stow Natural Oak Compact Sideboard"
https://www.nopcommerce.com/,
https://www.instagram.com/mollansfurniture/?hl=en-gb,
https://mollanbros.co.uk/electric-beds,Respa Electric Bed
https://mollanbros.co.uk/console-tables,"Arianna Console Table, Arturo Console Table, Salisbury Console Table, Stow Natural Oak 1 Drawer Console, Stow Painted 1 Drawer Console Table (Grey), Stow Painted 1 Drawer Console Table (White), Stow Painted 2 Drawer Console Table (Blue), Stow Painted 2 Drawer Console Table (Grey), Stow Painted 2 Drawer Console Table (White), Amelia 1 Drawer Console Table (Cream)"
https://mollanbros.co.uk/gloss-bedframes,"Diletta Bedframe, Diletta Bedframe - Stone, Kristel Bedframe"
https://mollanbros.co.uk/fabric3,"Paris 4 Seater by Lebus, Lowry Grand Sofa, Vesper 4 Seater (Modular), Neve 4 Seater, Cleveland Grand Sofa, Artemis Grand Sofa, Fleming Grand Sofa, Fairmont Grand Sofa, Memphis Grand Sofa, Aalto 4 Seater Sofa"
https://mollanbros.co.uk/mirrors,"Artsource Mirrors, Beaumont Mirror, May Mirror, Zahra Mirror, Hollywood Wireless Charging 9 Bulb Mirror, Hollywood Wireless Charging 12 Bulb Mirror, Hollywood Crystal Strip Mirror, Hollywood Vanity Mirror with 14 Bulbs, Hollywood 15 bulb Mirror"
https://mollanbros.co.uk/contactus,
https://mollanbros.co.uk/corner-sofas,
https://mollanbros.co.uk/fabric-headboards,"Respa Chelsea Headboard (Full Height), Respa Chelsea Headboard (Standard Height), Respa Emerald Headboard (Full Height), Respa Emerald Headboard (Standard Height), Respa Inspire Haiti Headboard, Respa Inspire Janus Headboard, Respa Inspire Rhea Headboard, Respa Inspire Vega Headboard, Respa Miranda Headboard (Full Height), Respa Pandora Headboard (Full Height)"
https://mollanbros.co.uk/order/history,
https://mollanbros.co.uk/living-room,
https://mollanbros.co.uk/fabric-stool,"Diletta Stool, Diletta Stool - Stone, Deauville Stool (Dark Grey), Deauville Stool (Light Grey), Zahra Stool, Sorrento Stool"
https://mollanbros.co.uk/about-us-2,
https://mollanbros.co.uk/gloss-wardrobes,"Miami 2 Door All Hanging Robe, Miami 3 Door 2 Drawer Robe, Miami 3 Door All Hanging Robe, Kristel 4 door Robe with Lights"
https://mollanbros.co.uk/leather6,"Nerano (Fixed or Electric Options), Russo Suite, Positano suite"
https://mollanbros.co.uk/mirrored-chest-of-drawers,"Jessica Dressing Chest, Jessica Tall 5 Drawer Chest"
https://mollanbros.co.uk/arm-chairs,"Grace Orthopedic Chair, Mira Orthopedic Chair"
https://mollanbros.co.uk/,
https://mollanbros.co.uk/coffee-tables,"Arianna Coffee Table, Arturo Coffee Table, Salisbury Coffee Table, Salisbury Coffee Table with Drawer, Salisbury Large Coffee Table, Salisbury Large Coffee Table + Drawers, Stow Natural Oak 2 Drawer Coffee Table, Stow Natural Oak Standard Coffee Table, Stow Painted Coffee Table with 2 Drawers (Grey), Stow Painted Coffee Table with 2 Drawers (White)"
https://mollanbros.co.uk/fabric,"Leroy Suite, Casey Suite, Trent by Lazboy, Penrith Suite, Lawton by Lazboy, Tamla by Lazboy"
https://mollanbros.co.uk/wall-art,"1948 Jag, After the Race Framed Art, Balloons over Mountains Wall Art, Boat on the River, Carrick-a-Rede Bridge, City Peace Bridge Colour, Colourful Butterfly Tree Wall Art, Colourful Love Tree Wall Art, Dark Hedges B&W, Dark Hedges Colour"
https://mollanbros.co.uk/mirrorsb,"Apollo Round Wall Mirror, Jessica Mirror Large, Mabel Cheval Mirror (Taupe), Mabel Cheval Mirror (White), Mabel Vanity Mirror (Taupe), Mabel Vanity Mirror (White), Salisbury Cheval Mirror, Salisbury Mirror, Salisbury Vanity Mirror, Troscan Cheval Mirror"
https://mollanbros.co.uk/guest-beds,Symphony Guest bed by Respa
https://mollanbros.co.uk/benchs,"Salisbury Bench with Baskets, Salisbury Monks Bench, Bradley Bench, Tommy Bench, Next Bench, Charlie Bench"
https://mollanbros.co.uk/glenkeen-pillows,"Glenkeen Memory Gel Pillow, Glenkeen Memory Foam Pillow"
https://mollanbros.co.uk/leather9,"Nerano (Fixed or Electric Options), Russo 3 Seater, Positano 3 Seater Manual, Positano 3 Seater Electric, Nerano 3 Seater (Electric Reclining), Claudia 3 Seater, Claudia 2 Seater, Egan 3 Seater, Egan 2 Seater"
https://mollanbros.co.uk/melamin-tables,"Picasso 1.6-2.0m Extending Dining Table (Cross Leg Base), Picasso 1.6-2.0m Extending Dining Table (4 Legs), Rimini 1.6- 2.0m Extending Dining Table, Athens 1.6 - 2.0m Extending Table, Rimini 30 Round Ext Table, Simoni Round Dining Table"
https://mollanbros.co.uk/wooden-bedside-lockers,"Mabel Bedside Locker (Taupe), Mabel Bedside Locker (White), Salisbury Bedside Locker, Salisbury Wide Bedside Locker, Stow Natural Oak 3 Drawer Locker, Stow Painted Bedside Locker (Grey), Stow Painted Bedside Locker (White), Troscan 2 Drawer Deep Locker, Troscan 3 Drawer Deep Locker, Troscan 3 Drawer Locker"
https://mollanbros.co.uk/wishlist,
https://mollanbros.co.uk/wooden-chest-of-drawers,"Mabel 5 Drawer Tall Narrow Chest (Taupe), Mabel 5 Drawer Tall Narrow Chest (White), Mabel 7 Drawer Wide Chest (Taupe), Mabel 7 Drawer Wide Chest (White), Mabel 8 Drawer Chest (Taupe), Mabel 8 Drawer Chest (White), Salisbury 2+2 Drawer Chest, Salisbury 2+3 Drawer Chest, Salisbury 2+4 Drawer Chest, Salisbury 3+4 Drawer Chest"
https://mollanbros.co.uk/blanket-boxes,"Jessica Storage Ottoman, Salisbury Storage Box, Troscan Blanket Box, Doune Blanket Box"
